# Time (s), Angle of Attack (°), Mach Number
4.906176,0.088515,0.763681
4.920341,0.088922,0.762837
4.934506,0.089325,0.761994
4.948671,0.089726,0.761152
4.962836,0.090123,0.760311
4.977001,0.090517,0.759472
4.991167,0.090907,0.758633
5.005332,0.091296,0.757795
5.019497,0.091682,0.756959
5.033662,0.092066,0.756123
5.047827,0.092446,0.755289
5.061992,0.092824,0.754456
5.076157,0.093200,0.753623
5.090322,0.093574,0.752792
5.104487,0.093944,0.751962
5.118653,0.094312,0.751132
5.132818,0.094678,0.750304
5.146983,0.095040,0.749477
5.161148,0.095400,0.748651
5.175313,0.095758,0.747826
5.189478,0.096112,0.747002
5.203643,0.096464,0.746179
5.217808,0.096812,0.745357
5.231973,0.097158,0.744536
5.246139,0.097501,0.743716
5.260304,0.097840,0.742897
5.274469,0.098176,0.742079
5.288634,0.098510,0.741262
5.302799,0.098842,0.740446
5.316964,0.099172,0.739631
5.331129,0.099499,0.738817
5.345294,0.099825,0.738004
5.359460,0.100148,0.737192
5.373625,0.100469,0.736381
5.387790,0.100789,0.735571
5.401955,0.101107,0.734762
5.416120,0.101423,0.733954
5.430285,0.101737,0.733147
5.444450,0.102050,0.732341
5.458615,0.102361,0.731536
5.472780,0.102670,0.730731
5.486946,0.102978,0.729928
5.501111,0.103284,0.729126
5.515276,0.103588,0.728325
5.529441,0.103891,0.727524
5.543606,0.104191,0.726725
5.557771,0.104489,0.725927
5.571936,0.104786,0.725129
5.586101,0.105082,0.724333
5.600267,0.105376,0.723537
5.614432,0.105667,0.722743
5.628597,0.105957,0.721949
5.642762,0.106245,0.721156
5.656927,0.106532,0.720364
5.671092,0.106817,0.719574
5.685257,0.107100,0.718784
5.699422,0.107381,0.717995
5.713587,0.107660,0.717207
5.727753,0.107938,0.716419
5.741918,0.108215,0.715633
5.756083,0.108489,0.714848
5.770248,0.108762,0.714063
5.784413,0.109034,0.713280
5.798578,0.109304,0.712497
5.812743,0.109573,0.711716
5.826908,0.109840,0.710935
5.841073,0.110105,0.710155
5.855239,0.110369,0.709376
5.869404,0.110632,0.708598
5.883569,0.110895,0.707821
5.897734,0.111155,0.707045
5.911899,0.111415,0.706269
5.926064,0.111673,0.705495
5.940229,0.111931,0.704721
5.954394,0.112187,0.703949
5.968560,0.112442,0.703177
5.982725,0.112696,0.702406
5.996890,0.112950,0.701636
6.011055,0.113201,0.700867
6.025220,0.113452,0.700099
6.039385,0.113702,0.699332
6.053550,0.113950,0.698566
6.067715,0.114198,0.697800
6.081880,0.114444,0.697036
6.096046,0.114690,0.696273
6.110211,0.114933,0.695511
6.125864,0.115269,0.694670
6.141517,0.115661,0.693831
6.157171,0.116059,0.692992
6.172824,0.116439,0.692155
6.188478,0.116807,0.691319
6.204131,0.117176,0.690485
6.219784,0.117548,0.689651
6.235438,0.117918,0.688819
6.251091,0.118284,0.687988
6.266744,0.118647,0.687158
6.282398,0.119008,0.686330
6.298051,0.119368,0.685502
6.313705,0.119725,0.684676
6.329358,0.120080,0.683851
6.345011,0.120433,0.683027
6.360665,0.120784,0.682205
6.376318,0.121133,0.681383
6.391971,0.121481,0.680563
6.407625,0.121827,0.679744
6.423278,0.122175,0.678926
6.438932,0.122521,0.678109
6.454585,0.122865,0.677294
6.470238,0.123206,0.676479
6.485892,0.123545,0.675666
6.501545,0.123884,0.674854
6.517198,0.124221,0.674043
6.532852,0.124555,0.673233
6.548505,0.124888,0.672424
6.564159,0.125219,0.671616
6.579812,0.125549,0.670810
6.595465,0.125877,0.670004
6.611119,0.126203,0.669200
6.626772,0.126527,0.668397
6.642425,0.126850,0.667595
6.658079,0.127171,0.666794
6.673732,0.127490,0.665994
6.689386,0.127808,0.665195
6.705039,0.128124,0.664397
6.720692,0.128438,0.663600
6.736346,0.128750,0.662805
6.751999,0.129061,0.662010
6.767652,0.129370,0.661216
6.783306,0.129677,0.660424
6.798959,0.129984,0.659633
6.814613,0.130288,0.658842
6.830266,0.130592,0.658053
6.845919,0.130894,0.657265
6.861573,0.131194,0.656477
6.877226,0.131494,0.655691
6.892879,0.131792,0.654906
6.908533,0.132088,0.654122
6.924186,0.132384,0.653339
6.939839,0.132678,0.652557
6.955493,0.132972,0.651775
6.971146,0.133263,0.650995
6.986800,0.133554,0.650216
7.002453,0.133844,0.649438
7.018106,0.134132,0.648661
7.033760,0.134419,0.647885
7.049413,0.134705,0.647110
7.065066,0.134989,0.646336
7.080720,0.135272,0.645563
7.096373,0.135554,0.644790
7.112027,0.135835,0.644019
7.127680,0.136115,0.643249
7.143333,0.136394,0.642480
7.158987,0.136671,0.641711
7.174640,0.136948,0.640944
7.190293,0.137223,0.640178
7.205947,0.137498,0.639412
7.221600,0.137771,0.638648
7.237254,0.138044,0.637884
7.252907,0.138315,0.637122
7.268560,0.138585,0.636360
7.284214,0.138854,0.635599
7.299867,0.139123,0.634840
7.315520,0.139390,0.634081
7.331174,0.139656,0.633323
7.346827,0.139922,0.632566
7.362481,0.140186,0.631810
7.378134,0.140449,0.631055
7.393787,0.140711,0.630300
7.409441,0.140972,0.629547
7.425094,0.141233,0.628795
7.440747,0.141493,0.628043
7.456401,0.141751,0.627292
7.472054,0.142009,0.626543
7.487708,0.142267,0.625794
7.503361,0.142523,0.625046
7.519014,0.142779,0.624299
7.536421,0.143127,0.623469
7.553828,0.143527,0.622640
7.571235,0.143935,0.621813
7.588642,0.144326,0.620986
7.606048,0.144706,0.620161
7.623455,0.145089,0.619336
7.640862,0.145473,0.618513
7.658269,0.145857,0.617691
7.675676,0.146238,0.616870
7.693083,0.146620,0.616050
7.710489,0.147000,0.615230
7.727896,0.147379,0.614412
7.745303,0.147754,0.613595
7.762710,0.148128,0.612780
7.780117,0.148502,0.611965
7.797524,0.148873,0.611151
7.814930,0.149243,0.610338
7.832337,0.149611,0.609526
7.849744,0.149977,0.608715
7.867151,0.150342,0.607905
7.884558,0.150705,0.607096
7.901965,0.151067,0.606289
7.919371,0.151427,0.605482
7.936778,0.151786,0.604676
7.954185,0.152143,0.603871
7.971592,0.152499,0.603067
7.988999,0.152853,0.602264
8.006406,0.153206,0.601463
8.023812,0.153557,0.600662
8.041219,0.153906,0.599862
8.058626,0.154254,0.599063
8.076033,0.154600,0.598265
8.093440,0.154946,0.597468
8.110847,0.155290,0.596672
8.128253,0.155633,0.595876
8.145660,0.155975,0.595082
8.163067,0.156315,0.594289
8.180474,0.156654,0.593497
8.197881,0.156992,0.592705
8.215288,0.157329,0.591915
8.232694,0.157665,0.591125
8.250101,0.158000,0.590337
8.267508,0.158333,0.589549
8.284915,0.158665,0.588762
8.302322,0.158996,0.587976
8.319729,0.159326,0.587191
8.337135,0.159655,0.586407
8.354542,0.159983,0.585624
8.371949,0.160310,0.584842
8.389356,0.160635,0.584061
8.406763,0.160959,0.583280
8.424170,0.161282,0.582501
8.441577,0.161604,0.581722
8.458983,0.161925,0.580944
8.476390,0.162245,0.580167
8.493797,0.162564,0.579391
8.511204,0.162883,0.578616
8.528611,0.163200,0.577842
8.546018,0.163516,0.577068
8.563424,0.163832,0.576296
8.580831,0.164147,0.575524
8.598238,0.164460,0.574753
8.615645,0.164773,0.573983
8.633052,0.165085,0.573214
8.650459,0.165397,0.572446
8.667865,0.165707,0.571679
8.685272,0.166017,0.570912
8.702679,0.166325,0.570146
8.720086,0.166633,0.569381
8.737493,0.166940,0.568617
8.754900,0.167246,0.567854
8.772306,0.167551,0.567092
8.789713,0.167856,0.566330
8.807120,0.168160,0.565569
8.824527,0.168464,0.564809
8.841934,0.168766,0.564050
8.859341,0.169068,0.563292
8.876747,0.169369,0.562534
8.894154,0.169670,0.561778
8.911561,0.169970,0.561022
8.928968,0.170269,0.560267
8.946375,0.170567,0.559512
8.963782,0.170866,0.558759
8.981188,0.171163,0.558006
8.998595,0.171460,0.557254
9.016002,0.171756,0.556503
9.033409,0.172051,0.555753
9.052665,0.172433,0.554924
9.071921,0.172859,0.554096
9.091177,0.173293,0.553269
9.110433,0.173715,0.552442
9.129689,0.174128,0.551617
9.148946,0.174543,0.550793
9.168202,0.174958,0.549969
9.187458,0.175373,0.549147
9.206714,0.175787,0.548325
9.225970,0.176198,0.547504
9.245226,0.176608,0.546685
9.264482,0.177016,0.545866
9.283738,0.177424,0.545048
9.302995,0.177830,0.544231
9.322251,0.178235,0.543415
9.341507,0.178639,0.542600
9.360763,0.179041,0.541786
9.380019,0.179442,0.540972
9.399275,0.179842,0.540160
9.418531,0.180241,0.539348
9.437787,0.180639,0.538538
9.457044,0.181035,0.537728
9.476300,0.181430,0.536919
9.495556,0.181823,0.536111
9.514812,0.182216,0.535303
9.534068,0.182608,0.534497
9.553324,0.182999,0.533692
9.572580,0.183388,0.532887
9.591836,0.183777,0.532083
9.611093,0.184165,0.531280
9.630349,0.184551,0.530478
9.649605,0.184937,0.529677
9.668861,0.185322,0.528876
9.688117,0.185706,0.528076
9.707373,0.186089,0.527278
9.726629,0.186471,0.526480
9.745885,0.186853,0.525682
9.765142,0.187233,0.524886
9.784398,0.187613,0.524090
9.803654,0.187992,0.523296
9.822910,0.188370,0.522502
9.842166,0.188747,0.521709
9.861422,0.189123,0.520916
9.880678,0.189498,0.520125
9.899934,0.189873,0.519334
9.919191,0.190247,0.518544
9.938447,0.190620,0.517755
9.957703,0.190992,0.516967
9.976959,0.191364,0.516179
9.996215,0.191735,0.515392
10.015471,0.192106,0.514606
10.034727,0.192476,0.513821
10.053983,0.192845,0.513036
10.073240,0.193214,0.512253
10.094568,0.193685,0.511386
10.115896,0.194208,0.510519
10.137225,0.194738,0.509654
10.158553,0.195252,0.508790
10.179882,0.195756,0.507927
10.201210,0.196262,0.507064
10.222539,0.196771,0.506203
10.243867,0.197280,0.505342
10.265195,0.197788,0.504482
10.286524,0.198294,0.503623
10.307852,0.198798,0.502766
10.329181,0.199300,0.501909
10.350509,0.199801,0.501053
10.371838,0.200302,0.500197
10.393166,0.200801,0.499343
10.414494,0.201299,0.498490
10.435823,0.201794,0.497637
10.457151,0.202289,0.496786
10.478480,0.202783,0.495935
10.499808,0.203275,0.495085
10.521137,0.203766,0.494236
10.542465,0.204256,0.493388
10.563793,0.204745,0.492541
10.585122,0.205233,0.491694
10.606450,0.205719,0.490849
10.627779,0.206205,0.490004
10.649107,0.206689,0.489161
10.670436,0.207172,0.488318
10.691764,0.207654,0.487476
10.713092,0.208134,0.486634
10.734421,0.208613,0.485794
10.755749,0.209093,0.484954
10.777078,0.209571,0.484116
10.798406,0.210048,0.483278
10.819735,0.210524,0.482441
10.841063,0.210999,0.481605
10.862392,0.211474,0.480769
10.883720,0.211948,0.479935
10.905048,0.212421,0.479101
10.926377,0.212893,0.478268
10.947705,0.213365,0.477436
10.969034,0.213836,0.476605
10.990362,0.214306,0.475774
11.011691,0.214775,0.474945
11.033019,0.215244,0.474116
11.054347,0.215713,0.473288
11.075676,0.216180,0.472461
11.097004,0.216647,0.471634
11.118333,0.217113,0.470808
11.139661,0.217578,0.469984
11.160990,0.218043,0.469159
11.182318,0.218508,0.468336
11.203646,0.218972,0.467514
11.224975,0.219436,0.466692
11.246303,0.219899,0.465871
11.267632,0.220362,0.465051
11.288960,0.220824,0.464231
11.310289,0.221286,0.463413
11.331617,0.221748,0.462595
11.352945,0.222209,0.461778
11.374274,0.222670,0.460961
11.395602,0.223131,0.460146
11.416931,0.223591,0.459331
11.440504,0.224161,0.458431
11.464077,0.224781,0.457532
11.487650,0.225409,0.456634
11.511224,0.226022,0.455737
11.534797,0.226628,0.454841
11.558370,0.227236,0.453946
11.581944,0.227846,0.453052
11.605517,0.228456,0.452158
11.629090,0.229064,0.451266
11.652663,0.229671,0.450374
11.676237,0.230276,0.449483
11.699810,0.230880,0.448594
11.723383,0.231484,0.447705
11.746956,0.232086,0.446816
